  k [h/Mpc]    inverse covariance [h/Mpc]^5
 0.184481                       2.32586
 0.184678                       2.33412
 0.184874                       2.34238
 0.18507                        2.35064
 0.185266                       2.3589
 0.185462                       2.36778
 0.185659                       2.37686
 0.185855                       2.38595
 0.186051                       2.39503
 0.186247                       2.40411
 0.186443                       2.4132
 0.18664                        2.42228
 0.186836                       2.43136
 0.187032                       2.44044
 0.187228                       2.44953
 0.187424                       2.45861
 0.187621                       2.46769
 0.187817                       2.47678
 0.188013                       2.48586
 0.188209                       2.49494
 0.188405                       2.50403
 0.188602                       2.51311
 0.188798                       2.52219
 0.188994                       2.53127
 0.18919                        2.54036
 0.189386                       2.54944
 0.189583                       2.55852
 0.189779                       2.56761
 0.189975                       2.57669
 0.190171                       2.58637
 0.190367                       2.59684
 0.190564                       2.60731
 0.19076                        2.61777
 0.190956                       2.62824
 0.191152                       2.6387
 0.191348                       2.64917
 0.191545                       2.65963
 0.191741                       2.6701
 0.191937                       2.68056
 0.192133                       2.69103
 0.192329                       2.70149
 0.192526                       2.71196
 0.192722                       2.72242
 0.192918                       2.73289
 0.193114                       2.74336
 0.19331                        2.75382
 0.193507                       2.76429
 0.193703                       2.77475
 0.193899                       2.78522
 0.194095                       2.79568
 0.194291                       2.80615
 0.194487                       2.81661
 0.194684                       2.82708
 0.19488                        2.83754
 0.195076                       2.84894
 0.195272                       2.86129
 0.195468                       2.87365
 0.195665                       2.88601
 0.195861                       2.89837
 0.196057                       2.91072
 0.196253                       2.92308
 0.196449                       2.93544
 0.196646                       2.9478
 0.196842                       2.96015
 0.197038                       2.97251
 0.197234                       2.98487
 0.19743                        2.99723
 0.197627                       3.00958
 0.197823                       3.02194
 0.198019                       3.0343
 0.198215                       3.04666
 0.198411                       3.05901
 0.198608                       3.07137
 0.198804                       3.08373
 0.199                          3.09609
